Cycle;Algo_Type;Element: 1;Element: 2;Element: 3;Element: 4;Element: 5;Cost;D_Index;
41;DYNAMIC;43;19;6;21;N/A;52;3;
42;NAIVE;34;20;1;7;N/A;29;2;
42;DYNAMIC;34;7;1;20;N/A;29;3;
43;NAIVE;50;16;2;48;N/A;68;2;
43;DYNAMIC;50;16;2;48;N/A;68;3;
44;NAIVE;48;47;30;45;N/A;152;2;
44;DYNAMIC;48;45;30;47;N/A;152;3;
45;NAIVE;46;27;10;43;N/A;90;2;
45;DYNAMIC;46;27;10;43;N/A;90;3;
46;NAIVE;41;27;6;24;N/A;63;2;
46;DYNAMIC;41;24;6;27;N/A;63;3;
47;NAIVE;37;25;1;21;N/A;48;2;
47;DYNAMIC;37;21;1;25;N/A;48;3;
48;NAIVE;47;24;1;35;N/A;61;2;
48;DYNAMIC;47;24;1;35;N/A;61;3;
49;NAIVE;50;47;4;42;N/A;97;2;
49;DYNAMIC;50;42;4;47;N/A;97;3;
50;NAIVE;47;11;2;5;N/A;20;2;
50;DYNAMIC;47;5;2;11;N/A;20;3;
51;NAIVE;11;8;1;1;N/A;11;2;
51;DYNAMIC;11;1;1;8;N/A;11;3;
52;NAIVE;46;31;22;26;N/A;101;2;
52;DYNAMIC;46;26;22;31;N/A;101;3;
53;NAIVE;40;18;9;30;N/A;66;2;
53;DYNAMIC;40;18;9;30;N/A;66;3;
54;NAIVE;37;14;5;28;N/A;52;2;
54;DYNAMIC;37;14;5;28;N/A;52;3;
55;NAIVE;50;28;1;8;N/A;38;2;
55;DYNAMIC;50;8;1;28;N/A;38;3;
56;NAIVE;45;24;7;16;N/A;54;2;
56;DYNAMIC;45;16;7;24;N/A;54;3;
57;NAIVE;39;9;5;13;N/A;32;2;
57;DYNAMIC;39;9;5;13;N/A;32;3;
58;NAIVE;36;35;4;27;N/A;70;2;
58;DYNAMIC;36;27;4;35;N/A;70;3;
59;NAIVE;49;49;34;42;N/A;159;2;
59;DYNAMIC;49;42;34;49;N/A;159;3;
60;NAIVE;45;44;32;38;N/A;146;2;
60;DYNAMIC;45;38;32;44;N/A;146;3;
61;NAIVE;13;9;3;8;N/A;23;2;
61;DYNAMIC;13;8;3;9;N/A;23;3;
62;NAIVE;17;5;3;11;N/A;22;2;
62;DYNAMIC;17;5;3;11;N/A;22;3;
63;NAIVE;48;20;10;14;N/A;54;2;
63;DYNAMIC;48;14;10;20;N/A;54;3;
64;NAIVE;44;40;16;29;N/A;101;2;
64;DYNAMIC;44;29;16;40;N/A;101;3;
65;NAIVE;43;12;7;38;N/A;64;2;
65;DYNAMIC;43;12;7;38;N/A;64;3;
66;NAIVE;40;26;2;37;N/A;67;2;
66;DYNAMIC;40;26;2;37;N/A;67;3;
67;NAIVE;48;22;4;17;N/A;47;2;
67;DYNAMIC;48;17;4;22;N/A;47;3;
68;NAIVE;43;37;16;19;N/A;88;2;
68;DYNAMIC;43;19;16;37;N/A;88;3;
69;NAIVE;33;14;6;33;N/A;59;2;
69;DYNAMIC;33;14;6;33;N/A;59;3;
70;NAIVE;47;45;2;30;N/A;79;2;
70;DYNAMIC;47;30;2;45;N/A;79;3;
71;NAIVE;47;43;43;45;N/A;174;2;
71;DYNAMIC;47;43;43;45;N/A;174;3;
72;NAIVE;41;10;7;9;N/A;33;2;
72;DYNAMIC;41;9;7;10;N/A;33;3;
73;NAIVE;22;6;3;6;N/A;18;2;
73;DYNAMIC;22;6;3;6;N/A;18;2;
74;NAIVE;20;18;1;20;N/A;40;2;
74;DYNAMIC;20;18;1;20;N/A;40;3;
75;NAIVE;46;19;14;35;N/A;82;2;
75;DYNAMIC;46;19;14;35;N/A;82;3;
76;NAIVE;49;10;9;31;N/A;59;2;
76;DYNAMIC;49;10;9;31;N/A;59;3;
77;NAIVE;47;24;5;46;N/A;80;2;
77;DYNAMIC;47;24;5;46;N/A;80;3;
78;NAIVE;50;20;11;46;N/A;88;2;
78;DYNAMIC;50;20;11;46;N/A;88;3;
79;NAIVE;45;34;7;26;N/A;74;2;
79;DYNAMIC;45;26;7;34;N/A;74;3;
80;NAIVE;31;25;9;22;N/A;65;2;
80;DYNAMIC;31;22;9;25;N/A;65;3;
81;NAIVE;45;23;4;36;N/A;67;2;
81;DYNAMIC;45;23;4;36;N/A;67;3;
82;NAIVE;49;41;3;33;N/A;80;2;
82;DYNAMIC;49;33;3;41;N/A;80;3;
83;NAIVE;47;5;2;45;N/A;54;2;
83;DYNAMIC;47;5;2;45;N/A;54;3;
84;NAIVE;50;8;1;12;N/A;22;2;
84;DYNAMIC;50;8;1;12;N/A;22;3;
85;NAIVE;31;15;3;9;N/A;30;2;
85;DYNAMIC;31;9;3;15;N/A;30;3;
86;NAIVE;49;29;12;23;N/A;76;2;
86;DYNAMIC;49;23;12;29;N/A;76;3;
87;NAIVE;38;12;8;27;N/A;55;2;
87;DYNAMIC;38;12;8;27;N/A;55;3;
88;NAIVE;22;8;2;7;N/A;19;2;
88;DYNAMIC;22;7;2;8;N/A;19;3;
89;NAIVE;49;18;3;6;N/A;30;2;
89;DYNAMIC;49;6;3;18;N/A;30;3;
90;NAIVE;48;32;5;13;N/A;55;2;
90;DYNAMIC;48;13;5;32;N/A;55;3;
91;NAIVE;35;28;11;28;N/A;78;2;
91;DYNAMIC;35;28;11;28;N/A;78;2;
92;NAIVE;43;33;6;25;N/A;70;2;
92;DYNAMIC;43;25;6;33;N/A;70;3;
93;NAIVE;39;32;2;39;N/A;75;2;
93;DYNAMIC;39;32;2;39;N/A;75;3;
94;NAIVE;47;12;3;4;N/A;22;2;
94;DYNAMIC;47;4;3;12;N/A;22;3;
95;NAIVE;50;49;10;11;N/A;80;2;
95;DYNAMIC;50;11;10;49;N/A;80;3;
96;NAIVE;15;13;6;9;N/A;34;2;
96;DYNAMIC;15;9;6;13;N/A;34;3;
97;NAIVE;39;9;1;30;N/A;41;2;
97;DYNAMIC;39;9;1;30;N/A;41;3;
98;NAIVE;46;38;6;26;N/A;76;2;
98;DYNAMIC;46;26;6;38;N/A;76;3;
99;NAIVE;41;20;10;36;N/A;76;2;
99;DYNAMIC;41;20;10;36;N/A;76;3;
